customer_id,age,income,tenure_months,monthly_charges,churn
152,32,71661,5,138.39,1
153,32,46024,33,35.97,0
154,43,85313,65,50.67,0
155,59,68006,18,41.52,0
156,30,110285,49,44.22,0
157,68,30338,11,128.87,0
158,49,83027,26,63.18,1
159,56,107772,63,60.49,0
160,66,95135,59,49.56,0
161,69,34508,27,99.03,0
162,49,18051,49,69.31,0
163,21,63747,33,116.75,1
164,47,102142,1,46.73,1
165,54,102235,21,122.41,1
166,40,69021,55,98.48,1
167,56,81412,6,34.85,0
168,62,73335,69,73.89,1
169,32,71179,5,132.26,1
170,60,47093,3,139.98,1
171,46,84678,53,80.54,0
172,53,95738,23,82.51,1
173,30,54734,53,139.4,0
174,49,87615,37,96.32,1
175,24,88523,17,24.27,1
176,68,109476,1,138.66,1
177,39,117769,51,52.27,1
178,45,32019,45,95.09,0
179,19,98613,4,41.52,1
180,59,106794,62,24.4,0
181,62,101672,65,60.49,0
182,23,88847,32,121.46,1
183,45,97750,34,56.09,0
184,45,94634,39,48.61,1
185,61,43251,26,47.65,0
186,61,118481,34,86.97,1
187,37,40945,54,146.82,0
188,47,105852,3,79.67,1
189,28,47217,50,92.45,0
190,45,23308,12,131.88,0
191,42,20949,65,89.56,0
192,56,66990,54,43.98,0
193,50,16150,5,58.95,0
194,18,104480,57,60.29,1
195,44,115235,17,71.65,1
196,69,89740,47,75.48,1
197,30,81617,23,123.97,1
198,58,109841,14,65.42,0
199,20,31896,66,80.87,0
200,56,61175,51,101.25,0
201,23,22805,38,69.1,1
202,25,20237,64,128.75,0
203,44,35056,38,96.37,0
204,26,60543,50,58.23,0
205,54,71556,30,112.83,1
206,50,18343,51,88.59,0
207,68,28500,63,89.48,0
208,59,68222,52,82.54,0
209,61,44375,38,84.61,0
210,41,24662,30,119.5,0
211,32,31964,51,33.39,0
212,49,74638,5,63.47,1
213,49,88666,29,29.82,0
214,41,100067,4,117.92,1
215,58,82215,10,55.4,1
216,69,84042,56,136.67,0
217,66,28284,17,88.46,0
218,66,87789,17,124.1,1
219,69,99664,69,147.26,1
220,29,108468,34,129.17,1
221,56,76389,6,132.71,1
222,19,24435,53,73.04,0
223,20,69340,66,91.72,0
224,66,59078,43,53.01,0
225,54,93832,23,45.49,1
226,66,66293,55,85.72,0
227,34,110981,16,97.36,1
228,66,93781,8,64.11,1
229,19,75403,4,94.03,1
230,19,44124,4,135.37,1
231,45,110435,56,92.37,1
232,40,58919,25,113.71,0
233,54,50247,67,124.69,0
234,49,109758,67,148.53,1
235,50,106747,27,98.42,1
236,18,77752,32,124.89,1
237,36,71573,50,145.14,1
238,19,74101,61,142.77,1
239,61,117756,51,38.34,1
240,43,41646,19,72.83,1
241,49,119185,21,62.12,0
242,23,38049,5,31.3,1
243,49,94605,42,102.32,1
244,21,113116,61,115.67,1
245,28,112379,22,130.26,1
246,34,83385,21,35.96,1
247,55,55158,70,133.94,0
248,41,80417,1,103.58,1
249,22,38289,5,111.51,1
250,69,115793,12,138.38,1
251,51,24823,46,101.22,0
252,23,75160,34,63.66,1
253,39,56975,49,127.26,0
254,28,24540,45,67.2,0
255,65,31364,27,24.45,0
256,33,19611,26,127.99,1
257,50,42663,47,64.87,0
258,26,66991,56,120.6,1
259,23,72679,63,67.16,0
260,33,119182,48,131.94,1
261,46,45977,61,48.54,0
262,20,109704,26,146.69,1
263,37,64115,36,121.37,1
264,53,106007,1,34.85,1
265,36,103223,8,93.55,1
266,43,75890,52,148.1,0
267,20,81387,47,81.24,0
268,36,33071,56,43.67,0
269,37,74275,14,83.02,0
270,49,87369,28,86.62,0
271,24,26938,2,116.42,0
272,69,50195,26,110.85,0
273,58,106680,14,72.33,1
274,50,19000,59,48.34,0
275,57,85588,56,103.86,0
276,56,116042,7,74.82,1
277,35,108610,3,37.2,1
278,57,118691,23,137.07,1
279,18,112856,18,109.86,1
280,28,53304,38,108.81,1
281,45,84449,15,126.94,1
282,42,97986,64,88.86,1
283,67,104643,28,125.96,1
284,40,35764,39,84.75,0
285,48,101027,57,28.73,0
286,47,53494,17,72.68,0
287,59,18373,44,84.67,0
288,52,27161,25,113.63,1
289,24,112532,17,33.86,1
290,33,107658,13,38.2,1
291,43,115386,25,54.28,0
292,65,42350,68,54.64,0
293,69,108008,10,115.18,1
294,66,109297,67,52.59,0
295,19,40351,18,102.3,1
296,18,103668,34,84.26,1
297,65,30305,8,94.53,1
298,29,90353,40,128.95,0
299,22,91797,42,72.57,0
300,54,80953,41,120.22,1
